Mask Name,OBJID,Velocity (km/s),Mask Name(Check),OBJID(Check),HI,CO,RA,Dec
M33D2B,258745,-174.0,M33D2B,258745,-134.34663751766055,-139.72663751766052,23.470125,30.475944444444444
M33D2B,259904,-165.0,M33D2B,259904,-136.08712075895107,,23.482958333333332,30.477305555555553
M33D2B,268191,-147.0,M33D2B,268191,-126.99969969560685,-127.02469969560686,23.297874999999998,30.485111111111113
M33D2B,285309,-141.0,M33D2B,285309,-133.2950385093552,,23.30220833333333,30.502555555555556
M33D2B,287327,-150.0,M33D2B,287327,-130.73791952631072,-140.4289195263107,23.30516666666666,30.506222222222224
M33D2B,290733,-138.0,M33D2B,290733,-125.76930282742147,,23.312916666666663,30.509555555555554
M33D2B,296181,-141.0,M33D2B,296181,-131.9789786528259,,23.313416666666665,30.514388888888888
M33D2B,11000141,-150.0,M33D2B,11000141,,,23.378616929999996,30.52808055
M33D2B,11000322,-150.0,M33D2B,11000322,,,23.36228361,30.52688611
M33D2B,11000461,-156.0,M33D2B,11000461,,,23.373866939999996,30.52930277
M33D2B,11001057,-150.0,M33D2B,11001057,,,23.378325269999998,30.51788611
M33D2B,11001142,-144.0,M33D2B,11001142,,,23.334533609999998,30.53349722
M33D2B,11001191,-144.0,M33D2B,11001191,,,23.341700264999997,30.49080277
M33D2B,11001373,-138.0,M33D2B,11001373,,,23.385491939999998,30.516025
M33D2B,11002087,-147.0,M33D2B,11002087,,,23.328741929999996,30.52333055
M33D2B,11002539,-141.0,M33D2B,11002539,,,23.384283599999996,30.51619166
M33D2B,11003201,-144.0,M33D2B,11003201,,,23.375616929999996,30.52402499
M33D2B,11003226,-132.0,M33D2B,11003226,,,23.337991934999998,30.50794166
M33D2B,11009421,-132.0,M33D2B,11009421,,,23.356325264999995,30.51916388
M33D2B,11015178,-179.99999999999997,M33D2B,11015178,,,23.363908605,30.52766388
M33D2B,10000472,-150.0,M33D2B,10000472,,,23.395593329999997,30.50370277
M33D2B,10000911,-144.0,M33D2B,10000911,,,23.412134999999996,30.49209166
M33D2B,10001431,-138.0,M33D2B,10001431,,,23.399843325,30.50420277
M33D2B,10001561,-156.0,M33D2B,10001561,,,23.409259994999996,30.513925
