Mask Name,Slit Number,RA,DEC,OBJECT ID,Redshift,QOP
M33D2A,29,23.484625,30.42811111111111,215883,-147.0,3
M33D2A,49,23.487375,30.45344444444445,238569,-138.0,3
M33D2A,50,23.478666666666665,30.45475,238675,-150.0,3
M33D2A,53,23.456916666666668,30.46125,245768,-138.0,3
M33D2A,54,23.493375,30.461305555555555,246366,-138.0,3
M33D2A,55,23.495708333333337,30.463666666666665,247953,-138.0,3
M33D2A,61,23.50666666666667,30.476999999999997,262694,-165.0,3
M33D2A,64,23.488166666666668,30.4805,265223,-147.0,3
M33D2A,67,23.29725,30.48397222222223,268109,-150.0,3
M33D2A,69,23.29725,30.489166666666666,272129,-150.0,3
M33D2A,70,23.30966666666667,30.50966666666667,290957,-120.0,3
M33D2A,71,23.311375,30.510638888888888,292067,-138.0,3
M33D2A,75,23.330375,30.523777777777767,11000259,-138.0,3
M33D2A,77,23.331291666666665,30.532722222222233,11000288,-147.0,3
M33D2A,78,23.338708333333336,30.48980555555556,11000311,-138.0,3
M33D2A,79,23.330416666666668,30.52733333333333,11000365,-138.0,3
M33D2A,82,23.38883333333333,30.53322222222221,11000622,-126.0,3
M33D2A,83,23.35925,30.51658333333333,11000779,-126.0,3
M33D2A,86,23.34208333333333,30.50425,11000958,-126.0,3
M33D2A,88,23.345375,30.525388888888887,11001010,-135.0,3
M33D2A,94,23.364375,30.48472222222223,11002161,-165.0,2
M33D2A,95,23.383625,30.52405555555556,11002328,-126.0,3
M33D2A,100,23.356666666666666,30.529277777777768,11003077,-147.0,3
M33D2A,103,23.359125,30.506916666666665,11003449,-126.0,3
M33D2A,113,23.34058333333333,30.52569444444445,11009390,-129.0,3
M33D2A,114,23.374208333333332,30.523805555555555,11011192,-132.0,3
M33D2A,115,23.338583333333336,30.52411111111111,11012561,-138.0,3
M33D2A,117,23.39562500000001,30.523111111111113,11013854,-138.0,3
M33D2A,118,23.38933333333333,30.52497222222221,11015180,-129.0,3
M33D2A,122,23.37141666666667,30.52352777777777,11020361,-138.0,3
M33D2A,123,23.349125,30.50516666666667,11029923,-132.0,3
M33D2A,125,23.41183333333333,30.460305555555554,10000739,-72.0,1
M33D2A,127,23.39395833333333,30.500222222222234,10000938,-132.0,3
M33D2A,129,23.40883333333333,30.50625,10001247,-126.0,3
M33D2A,132,23.42608333333333,30.5065,10001557,-126.0,3
M33D2A,140,23.40566666666667,30.4925,10002592,-120.0,3
M33D2A,146,23.401375,30.47608333333333,10003560,-138.0,3
M33D2A,147,23.40829166666667,30.51236111111111,10003925,-138.0,3
M33D2A,148,23.4075,30.48119444444445,10004026,-132.0,3
M33D2A,150,23.41975,30.50708333333333,10004461,-135.0,3
M33D2A,153,23.429625,30.48683333333333,10004888,-120.0,3
M33D2A,155,23.42795833333333,30.45669444444445,10005476,-132.0,3
M33D2A,166,23.449791666666666,30.48311111111111,10007318,-252.0,2
M33D2A,169,23.405041666666666,30.453611111111112,10011502,-126.0,3
M33D2A,172,23.41729166666667,30.51683333333333,10014012,-147.0,3
M33D2A,174,23.41058333333333,30.47288888888889,10014984,-144.0,3
M33D2A,175,23.408916666666666,30.490861111111112,10020393,-126.0,3
M33D2A,176,23.418875,30.48325,10022019,-123.0,3
M33D2A,178,23.458041666666666,30.479777777777766,10026155,-102.0,2
M33D2A,187,23.559041666666666,30.452666666666666,12001048,-167.99999999999997,3
M33D2A,195,23.569375,30.47075,12002008,-147.0,3
M33D2A,197,23.54745833333333,30.44083333333333,12002221,-126.0,3
M33D2A,210,23.555375,30.45644444444445,12004136,-174.0,3
M33D2A,217,23.555166666666665,30.434166666666666,12005774,-171.0,3
M33D2A,221,23.53558333333333,30.435,12006403,-171.0,3
M33D2A,233,23.57258333333333,30.469,12007864,-162.0,3
M33D2B,12,23.30091666666667,30.477777777777767,5003038,-165.0,1
M33D2B,13,23.36829166666667,30.51913888888889,11007314,-135.0,3
M33D2B,14,23.374208333333332,30.523805555555555,11011192,-141.0,3
M33D2B,15,23.42608333333333,30.5065,10001557,-135.0,3
M33D2B,17,23.42795833333333,30.45669444444445,10005476,-135.0,3
M33D2B,22,23.449791666666666,30.48311111111111,10007318,-150.0,3
M33D2B,23,23.405041666666666,30.453611111111112,10011502,-135.0,3
M33D2B,26,23.41729166666667,30.51683333333333,10014012,-147.0,3
M33D2B,27,23.41058333333333,30.47288888888889,10014984,-135.0,3
M33D2B,28,23.418875,30.48325,10022019,-126.0,3
M33D2B,29,23.458041666666666,30.479777777777766,10026155,-105.0,3
M33D2B,41,23.562041666666666,30.469,12004677,-167.99999999999997,3
M33D2B,47,23.53558333333333,30.435,12006403,-165.0,3
M33D2B,56,23.311375,30.475222222222207,5000429,-126.0,3
M33D2B,57,23.30725,30.47647222222221,5001807,-89.99999999999999,2
M33D2B,58,23.30479166666667,30.47625,5003845,-147.0,3
